category,category_id,class_number,comment,post_id,post_name,title,youtube
שיעורי חשבון,ch-030-heshbon-dalet,02,"המשך השיעור הקודם על הבטים שונים של מספר - נלמד כיצד לזהות במספר כלשהו את ספרת היחידות, העשרות, המאות, האלפים, ועשרות האלפים. וכיצד לחשב את כמות היחידות, העשרות, המאות, האלפים וכו'.",68,כיתה-ד-שיעור-02א-מבנה-עשרוני,כיתה ד - שיעור 02 א - המשך תרגילים במבנה עשרוני,http://www.youtube.com/watch?v=o5QTHDvO0sc
שיעורי חשבון,ch-030-heshbon-dalet,03,"שיעור הסבר על חלוקת המספר למחלקות - מחלקת היחידות ובה ספרת היחידות, העשרות והמאות ומחלקת האלפים ובה ספרת היחידות, העשרות והמאות.",70,כיתה-ד-שיעור-03-הבטים-שונים-של-מספר,כיתה ד -שיעור  03 - הבטים שונים של מספר,http://www.youtube.com/watch?v=P9iShN-M_94
שיעורי חשבון,ch-030-heshbon-dalet,04,תרגילים נוספים בנושא של הבטים שונים של מספר.,72,כיתה-ד-שיעור-04-המשך-הבטים-שונים-של-מספר,כיתה ד - שיעור 04 - המשך הבטים שונים של מספר,http://www.youtube.com/watch?v=F1ftJH2ea_g
שיעורי חשבון,ch-030-heshbon-dalet,05,"נעזר בציר המספרים ונלמד מהו מספר עוקב, מספר קודם ומי הם השכנים של מספר כלשהו.",74,כיתה-ד-שיעור-05-מספר-עוקב-קודם-ושכנים,"כיתה ד - שיעור 05 - מספר קודם, עוקב ושכנים",http://www.youtube.com/watch?v=HUERm8x-q6A
שיעורי חשבון,ch-030-heshbon-dalet,06,תרגילי השוואה בין מספרים נתונים בתחום האלפים והרבבה,92,כיתה-ד-שיעור-06-סימני-קטן-גדול-או-שווה,"כיתה ד - שיעור 06 א - סימני קטן, גדול או שוה",http://www.youtube.com/watch?v=imI8li_uZf4
שיעורי חשבון,ch-030-heshbon-dalet,07,תרגילי סדרות עולות ויורדות עד מיליון מלווה בהסבר.,97,כיתה-ד-שיעור-07-סדרות,כיתה ד - שיעור 07 א - סדרות,http://www.youtube.com/watch?v=--2GA8c8xuE
שיעורי חשבון,ch-030-heshbon-dalet,08,"נלמד על שיטה קלה לפתירת תרגילי עיגול מספרים לעשרות, למאות, ולאלפים. נדגים את השיטה בעזרת ציר המספרים.",104,כיתה-ד-שיעור-08-עיגול-מספרים,כיתה ד - שיעור 08 - עיגול מספרים,http://www.youtube.com/watch?v=Ew3527wOkrg
שיעורי חשבון,ch-030-heshbon-dalet,01,"שיעור הסבר על המבנה העשרוני של המספר, כתיבתו בספרות ובמילים ופירוקו ליחידות, לעשרות, למאות, לאלפים ולרבבה.",106,כיתה-ד-שיעור-01-מבנה-עשרוני-תרגילים,כיתה ד - שיעור 01 א - מבנה עשרוני - תרגילים,http://www.youtube.com/watch?v=rpOemgxsNM4
שיעורי חשבון,ch-030-heshbon-dalet,09,נלמד על שיטה קלה וברורה לתיחום מספרים בעזרת ציר המספרים,188,כיתה-ד-שיעור-09-תיחום-מספרים,כיתה ד - שיעור 09 - תיחום מספרים,http://www.youtube.com/watch?v=LqSoT9VfrEo
שיעורי חשבון,ch-030-heshbon-dalet,10,נלמד כיצד לחשב אומדן של מספר כלשהו ונפתור שאלות מילוליות באומדן.,213,כיתה-ד-שיעור-10-אומדן-שאלות-מילוליות,כיתה ד - שיעור 10 א - אומדן - שאלות מילוליות,http://www.youtube.com/watch?v=nZrvK1DjBCE
שיעורי חשבון,ch-030-heshbon-dalet,11,"הסבר מפורט כיצד מבצעים חיבור בטור, בתחום הרבבה, בעזרת תרגילים.",225,כיתה-ד-שיעור-11-חיבור-בטורבמאונך,כיתה ד - שיעור 11 - חיבור בטור/במאונך,http://www.youtube.com/watch?v=98mlED1hEnE
שיעורי חשבון,ch-030-heshbon-dalet,12,"בשיעור זה נסביר כיצד לפתור בדרך קלה, שאלות מילוליות בתחום הרבבה.",232,כיתה-ד-שיעור-12-שאלות-מילוליות-בחיבור,כיתה ד - שיעור 12א - שאלות מילוליות בחיבור,http://www.youtube.com/watch?v=aqrIuEMbmFc
שיעורי חשבון,ch-030-heshbon-dalet,,נלמד לפתור תרגילים בנושא סדרות.,2119,כיתה-ד-שיעור-07-ב-המשך-סדרות,כיתה ד - שיעור 07 ב' - המשך סדרות,http://www.youtube.com/watch?v=X93RSr1XhxQ
